Algorithm,Accuracy,Precision,Recall,F1
Random Forest,0.9775561097256857,0.9700854700854701,0.88671875,0.9265306122448979
Logistic Regression,0.9432668329177057,0.8634361233480177,0.765625,0.8115942028985508
