constructorRef,url
epperly,http://en.wikipedia.org/wiki/Epperly
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor)
lesovsky,http://en.wikipedia.org/wiki/Lesovsky
trevis,http://en.wikipedia.org/wiki/Trevis
meskowski,http://en.wikipedia.org/wiki/Meskowski
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor)
vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor)
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor)
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
vanwall,http://en.wikipedia.org/wiki/Vanwall
moore,http://en.wikipedia.org/wiki/Moore_(constructor)
dunn,http://en.wikipedia.org/wiki/Dunn_Engineering
elder,http://en.wikipedia.org/wiki/Elder_(constructor)
sutton,http://en.wikipedia.org/wiki/Sutton_(constructor)
fry,http://en.wikipedia.org/wiki/Fry_(racing_team)
tec-mec,http://en.wikipedia.org/wiki/Tec-Mec
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
gordini,http://en.wikipedia.org/wiki/Gordini
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor)
bugatti,http://en.wikipedia.org/wiki/Bugatti
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor)
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor)
pankratz,http://en.wikipedia.org/wiki/Pankratz
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini
nichels,http://en.wikipedia.org/wiki/Nichels
bromme,http://en.wikipedia.org/wiki/Bromme
klenk,http://en.wikipedia.org/wiki/Klenk
simca,http://en.wikipedia.org/wiki/Simca
turner,http://en.wikipedia.org/wiki/Turner_(constructor)
del_roy,http://en.wikipedia.org/wiki/Del_Roy
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor)
bmw,http://en.wikipedia.org/wiki/BMW
emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash
sherman,http://en.wikipedia.org/wiki/Sherman_(constructor)
deidt,http://en.wikipedia.org/wiki/Deidt
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles
butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth
cisitalia,http://en.wikipedia.org/wiki/Cisitalia
lago,http://en.wikipedia.org/wiki/Talbot-Lago
hall,http://en.wikipedia.org/wiki/Hall_(constructor)
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor)
langley,http://en.wikipedia.org/wiki/Langley_(constructor)
rae,http://en.wikipedia.org/wiki/Rae_(motorsport)
olson,http://en.wikipedia.org/wiki/Olson_(constructor)
wetteroth,http://en.wikipedia.org/wiki/Wetteroth
adams,http://en.wikipedia.org/wiki/Adams_(constructor)
snowberger,http://en.wikipedia.org/wiki/Snowberger
milano,http://en.wikipedia.org/wiki/Scuderia_Milano
hrt,http://en.wikipedia.org/wiki/Hispania_Racing
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company
virgin,http://en.wikipedia.org/wiki/Virgin_Racing
cooper-osca,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus
cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus
brabham-brm,http://en.wikipedia.org/wiki/Brabham
brabham-ford,http://en.wikipedia.org/wiki/Brabham
brabham-climax,http://en.wikipedia.org/wiki/Brabham
lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile)
lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile)
cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren
mclaren-seren,http://en.wikipedia.org/wiki/Team_McLaren
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers
brabham-repco,http://en.wikipedia.org/wiki/Brabham
cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company
mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing)
cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company
matra-ford,http://en.wikipedia.org/wiki/Matra
brm-ford,http://en.wikipedia.org/wiki/BRM
mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing)
march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering
march-ford,http://en.wikipedia.org/wiki/March_Engineering
lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus
shadow-ford,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
shadow-matra,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham
lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing
marussia,http://en.wikipedia.org/wiki/Marussia_F1
caterham,http://en.wikipedia.org/wiki/Caterham_F1
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1
manor,http://en.wikipedia.org/wiki/Manor_Motorsport
haas,http://en.wikipedia.org/wiki/Haas_F1_Team
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team
rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team
